Wall time,Step,Value
1535631481.357081,7941,6.268699645996094
1535631536.3699744,7981,6.265827178955078
1535631591.078075,8021,7.2014312744140625
1535631672.887348,8081,6.9149675369262695
1535631686.5859983,8091,6.825170993804932
1535632003.7793236,8321,7.545500755310059
1535632059.3097582,8361,5.915140628814697
1535632519.521409,8691,8.187196731567383
1535632616.793849,8761,8.480081558227539
1535632699.9337287,8821,6.794097423553467
1535632893.7468426,8961,7.31117057800293
1535632949.388507,9001,5.446113109588623
1535633046.811262,9071,14.28956413269043
1535633075.450038,9091,7.1294379234313965
1535633159.8296912,9151,6.078635215759277
1535633186.9751482,9171,12.076613426208496
1535633380.9056365,9311,8.009278297424316
1535633394.5716035,9321,6.086363792419434
1535633533.681954,9421,6.6245880126953125
1535633575.0199769,9451,10.71537971496582
1535633699.0286062,9541,7.000924110412598
1535633753.958106,9581,10.31105899810791
1535633810.0250063,9621,7.993034839630127
1535633934.1500318,9711,7.307910442352295
1535633947.8800135,9721,6.254810333251953
1535634031.2049572,9781,6.039664268493652
1535634044.7521317,9791,8.347968101501465
1535634114.1425447,9841,7.908682823181152
1535634360.8563662,10021,6.565404415130615
1535634402.0042448,10051,7.153627395629883
1535634524.332581,10141,13.218708992004395
1535634931.2785494,10441,5.904310703277588
1535635107.956302,10571,6.391687870025635
1535635189.2270436,10631,6.06256628036499
1535635229.947877,10661,7.002716541290283
1535635257.4166117,10681,6.7477617263793945
1535635311.2567503,10721,6.5417304039001465
1535635392.4353206,10781,5.792984962463379
1535635460.775005,10831,4.958604335784912
1535635597.3637202,10931,11.050939559936523
1535635678.3062296,10991,7.340643882751465
1535635745.901581,11041,7.784397125244141
1535635880.26453,11141,5.067920207977295
1535635948.303866,11191,6.2441792488098145
1535636448.9257388,11561,5.8550705909729
1535636502.7813323,11601,8.604177474975586
1535636516.33754,11611,6.171030521392822
1535636530.0239294,11621,5.440741539001465
1535636774.667719,11801,6.958710193634033
1535636937.551989,11921,6.245532512664795
1535636950.7984931,11931,6.628139495849609
1535637032.5821562,11991,6.271107196807861
1535637127.1037815,12061,8.498570442199707
1535637479.7100503,12321,8.545719146728516
1535637642.388022,12441,6.153622627258301
1535637792.061492,12551,8.300155639648438
1535637832.0581238,12581,6.528956890106201
1535637873.710042,12611,5.585330486297607
1535638144.933025,12811,5.442910194396973
1535638226.6197984,12871,5.626424312591553
1535638321.6694062,12941,6.118330001831055
1535638403.7763855,13001,6.011316299438477
1535638621.5796454,13161,5.39345121383667
1535638662.7122788,13191,4.498157501220703
1535638811.1140974,13301,5.729525566101074
1535638851.8468137,13331,6.666094779968262
1535638892.492556,13361,5.74161958694458
1535638905.9393737,13371,11.926969528198242
1535639556.2202861,13851,6.126832485198975
1535639596.7627606,13881,5.469047546386719
1535639637.4496052,13911,5.655892848968506
1535639650.957134,13921,4.061756134033203
1535639948.8957844,14141,5.944308757781982
1535640110.4326785,14261,5.033962726593018
1535640137.4106963,14281,6.943652153015137
1535640191.7449937,14321,5.3951497077941895
1535640245.7721157,14361,4.948500156402588
1535640300.6931593,14401,6.193976879119873
1535640637.1394606,14651,5.027534008026123
1535640650.485076,14661,6.496048927307129
1535640799.5819454,14771,5.5840044021606445
1535640908.087359,14851,4.455845832824707
1535640962.1668563,14891,6.612399101257324
1535640988.847349,14911,8.16785717010498
1535641218.2357087,15081,5.401899337768555
1535641420.71929,15231,8.404862403869629
1535641475.6159437,15271,5.670020580291748
1535641813.5357356,15521,8.74882698059082
1535642029.3942978,15681,7.835830211639404
1535642042.9584131,15691,6.422146320343018
1535642246.5481243,15841,6.0013957023620605
1535642301.2187622,15881,6.3365936279296875
1535642517.3935955,16041,6.3329057693481445
1535642530.954744,16051,5.144328594207764
1535642706.6188924,16181,5.638606548309326
1535642828.147475,16271,6.325420379638672
1535642895.9512842,16321,5.260910987854004
1535642963.1774614,16371,7.012717247009277
1535643003.6718764,16401,6.902141571044922
1535643071.4862328,16451,6.71773099899292
1535643112.2072725,16481,5.758922576904297
1535643274.3824763,16601,6.073326587677002
1535643381.5548518,16681,6.910971164703369
1535643475.8793616,16751,7.551281929016113
1535643570.2275863,16821,6.431046009063721
1535643691.8225448,16911,4.635827541351318
1535643745.731804,16951,7.27833890914917
1535643772.7772722,16971,4.900558948516846
1535643799.662836,16991,7.0255045890808105
1535643840.3507082,17021,5.5635480880737305
1535643935.7837408,17091,6.184444904327393
1535644057.5039961,17181,4.260893821716309
1535644192.3793793,17281,6.906803607940674
1535644246.2506628,17321,4.4291090965271
1535644273.408419,17341,3.693551540374756
1535644313.2094913,17371,5.797510147094727
1535644381.4117224,17421,4.941892623901367
1535644421.408251,17451,7.1421661376953125
1535644434.6247485,17461,5.384339809417725
1535644448.1771326,17471,6.718505859375
1535644703.5285442,17661,5.976163387298584
1535644824.873583,17751,4.881000995635986
1535644905.82655,17811,5.67246150970459
1535645001.1996284,17881,7.702539920806885
1535645014.5474505,17891,8.275693893432617
1535645136.7115343,17981,6.783656120300293
1535645230.8091767,18051,6.165125370025635
1535645514.3165066,18261,5.641208648681641
1535645567.9670188,18301,7.318318843841553
1535645703.3304138,18401,8.703856468200684
1535645757.3297296,18441,6.846331596374512
1535645879.0844672,18531,7.082906723022461
1535646054.644757,18661,7.555650234222412
1535646095.2800167,18691,4.026515483856201
1535646176.5084255,18751,6.34764289855957
1535646204.0832002,18771,4.0531768798828125
1535646663.127035,19111,4.746690273284912
1535646744.0597146,19171,5.082460880279541
1535646974.544767,19341,6.505857467651367
1535647001.327861,19361,4.340286731719971
1535647109.3319798,19441,5.624159812927246
1535647149.909178,19471,9.270380020141602
1535647176.8876586,19491,5.273460865020752
1535647419.1471534,19671,5.591582775115967
1535647607.928318,19811,4.971451282501221
1535647635.2049472,19831,4.481592178344727
1535647878.5316808,20011,6.365431785583496
